timestamp,event_type,function_name,policy_name,node_name,namespace,pod,workload,workload_kind,container,image,binary,arguments,pid,uid,cwd,src_ip,src_port,dst_ip,dst_port,protocol,tcp_state,bytes,file_path,label,scenario
2026-05-18T17:47:07.010491961Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,loadgenerator-5c7cbd94ff-dnmlk,loadgenerator,Deployment,main,us-central1-docker.pkg.dev/google-samples/microservices-demo/loadgenerator:v0.10.5,/usr/local/bin/python3.14,/usr/local/bin/locust --host=http://frontend:80 --headless -u 10 -r 1,25657,1000,/loadgen,10.42.0.29,50808,10.43.244.104,80,IPPROTO_TCP,TCP_ESTABLISHED,214,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.012947145Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,frontend-759775d795-pw9rh,frontend,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.5,/src/server,,369351,1000,/src,10.42.0.36,46926,10.43.171.177,3550,IPPROTO_TCP,TCP_ESTABLISHED,43,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.013415642Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,productcatalogservice-c4cfd98fb-g9446,productcatalogservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/productcatalogservice:v0.10.5,/src/server,,368587,1000,/src,::ffff:10.42.0.34,3550,::ffff:10.42.0.36,46926,IPPROTO_TCP,TCP_ESTABLISHED,30,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.013569290Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,productcatalogservice-c4cfd98fb-g9446,productcatalogservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/productcatalogservice:v0.10.5,/src/server,,368587,1000,/src,::ffff:10.42.0.34,3550,::ffff:10.42.0.36,46926,IPPROTO_TCP,TCP_ESTABLISHED,208,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.015251722Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,frontend-759775d795-pw9rh,frontend,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.5,/src/server,,369351,1000,/src,::ffff:10.42.0.36,8080,::ffff:10.42.0.29,50808,IPPROTO_TCP,TCP_ESTABLISHED,4096,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.015483428Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,frontend-759775d795-pw9rh,frontend,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.5,/src/server,,369351,1000,/src,10.42.0.36,46926,10.43.171.177,3550,IPPROTO_TCP,TCP_ESTABLISHED,47,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.016346995Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,productcatalogservice-c4cfd98fb-g9446,productcatalogservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/productcatalogservice:v0.10.5,/src/server,,368587,1000,/src,::ffff:10.42.0.34,3550,::ffff:10.42.0.36,46926,IPPROTO_TCP,TCP_ESTABLISHED,17,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.017283504Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,frontend-759775d795-pw9rh,frontend,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.5,/src/server,,369351,1000,/src,::ffff:10.42.0.36,8080,::ffff:10.42.0.29,50808,IPPROTO_TCP,TCP_ESTABLISHED,1158,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.097688307Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,paymentservice-66c65775b-9mfvl,paymentservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.5,/usr/bin/node,index.js,400195,1000,/usr/src/app,::ffff:10.42.0.40,50051,::ffff:10.42.0.1,56242,IPPROTO_TCP,TCP_ESTABLISHED,9,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.103862643Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,paymentservice-66c65775b-9mfvl,paymentservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.5,/usr/bin/node,index.js,400195,1000,/usr/src/app,::ffff:10.42.0.40,50051,::ffff:10.42.0.1,56242,IPPROTO_TCP,TCP_ESTABLISHED,129,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.105746208Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,paymentservice-66c65775b-9mfvl,paymentservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.5,/usr/bin/node,index.js,400195,1000,/usr/src/app,::ffff:10.42.0.40,50051,::ffff:10.42.0.1,56242,IPPROTO_TCP,TCP_ESTABLISHED,52,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.107106656Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,paymentservice-66c65775b-9mfvl,paymentservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.5,/usr/bin/node,index.js,400195,1000,/usr/src/app,::ffff:10.42.0.40,50051,::ffff:10.42.0.1,56242,IPPROTO_TCP,TCP_CLOSE_WAIT,17,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.109817325Z,tcp_close,tcp_close,pfe-network-observability,ubuntu-vm,benign-lab,paymentservice-66c65775b-9mfvl,paymentservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/paymentservice:v0.10.5,/usr/bin/node,index.js,400195,1000,/usr/src/app,::ffff:10.42.0.40,,::ffff:10.42.0.1,56242,IPPROTO_TCP,TCP_CLOSE,,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.279918634Z,tcp_close,tcp_close,pfe-network-observability,ubuntu-vm,benign-lab,redis-cart-6899b65948-twlc5,redis-cart,Deployment,redis,docker.io/library/redis:alpine,/usr/local/bin/redis-server,,357944,1000,/data,10.42.0.38,6379,10.42.0.1,58732,IPPROTO_TCP,TCP_CLOSE_WAIT,,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.455339492Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,cartservice-7956c8c845-945gx,cartservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.5,/app/cartservice,,406082,1000,/app,::ffff:10.42.0.31,7070,::ffff:10.42.0.1,46822,IPPROTO_TCP,TCP_ESTABLISHED,46,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.455418806Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,cartservice-7956c8c845-945gx,cartservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.5,/app/cartservice,,406082,1000,/app,::ffff:10.42.0.31,7070,::ffff:10.42.0.1,46822,IPPROTO_TCP,TCP_ESTABLISHED,9,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.457853153Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,cartservice-7956c8c845-945gx,cartservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.5,/app/cartservice,,406082,1000,/app,::ffff:10.42.0.31,7070,::ffff:10.42.0.1,46822,IPPROTO_TCP,TCP_ESTABLISHED,108,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.545474778Z,tcp_close,tcp_close,pfe-network-observability,ubuntu-vm,benign-lab,cartservice-7956c8c845-945gx,cartservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/cartservice:v0.10.5,/app/cartservice,,406082,1000,/app,::ffff:10.42.0.31,,::ffff:10.42.0.1,46822,IPPROTO_TCP,TCP_CLOSE,,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.638094057Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,loadgenerator-5c7cbd94ff-dnmlk,loadgenerator,Deployment,main,us-central1-docker.pkg.dev/google-samples/microservices-demo/loadgenerator:v0.10.5,/usr/local/bin/python3.14,/usr/local/bin/locust --host=http://frontend:80 --headless -u 10 -r 1,25657,1000,/loadgen,10.42.0.29,50818,10.43.244.104,80,IPPROTO_TCP,TCP_ESTABLISHED,214,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.679296101Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,frontend-759775d795-pw9rh,frontend,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.5,/src/server,,369351,1000,/src,10.42.0.36,46926,10.43.171.177,3550,IPPROTO_TCP,TCP_ESTABLISHED,43,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.679903277Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,productcatalogservice-c4cfd98fb-g9446,productcatalogservice,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/productcatalogservice:v0.10.5,/src/server,,368587,1000,/src,::ffff:10.42.0.34,3550,::ffff:10.42.0.36,46926,IPPROTO_TCP,TCP_ESTABLISHED,228,,benign,benign-cloud-native-baseline
2026-05-18T17:47:07.680340806Z,tcp_sendmsg,tcp_sendmsg,pfe-network-observability,ubuntu-vm,benign-lab,frontend-759775d795-pw9rh,frontend,Deployment,server,us-central1-docker.pkg.dev/google-samples/microservices-demo/frontend:v0.10.5,/src/server,,369351,1000,/src,10.42.0.36,46926,10.43.171.177,3550,IPPROTO_TCP,TCP_ESTABLISHED,47,,benign,benign-cloud-native-baseline
